text,label_manual
2024SetiaBersamaJokowi: KOBAR dan Masyarakat Surabaya Gelar Doa Bersama untuk Jokowi https://t.co/Jcny4QnQyl,positive
"@geloraco ""2024setiabersamajokowi"" maksudnya ya sama jokowi sampe 2024 untuk mengantarkan presiden yg baru 😁",positive
"Sah-sah saja jika rakyat aspirasikan keinginan mereka,apalagi sudah jls dan dampaknya seteraan pembangunan dan program lain nya.
Bukan tidak menghargai perjuangan para reformasi dulu tapi hanya saja permintaan utk melanjutkan supaya tuntas.

#KobarJokowi
#2024setiabersamajokowi",positive
"Wow, Baliho #2024SetiaBersamaJokowi Jadi Trending https://t.co/YfyQ2febwt https://t.co/N7TgaWKT6B",neutral
"@justsayitcha Udah sampe sini tapi cha spanduk #2024setiabersamajokowi

Mungkin bapaknya mau nambah catatan amal tanggung jawab, sebagai pemimpin

Kalau ada yang masih dukung, kelewat sih wkw https://t.co/aoypB1V3ef",negative
"Menurut saya sah"" aja kok dilanjutkan bukan tidak melihat perjuangan para pendahulu yg mati"" tapi kita serap aspirasi rakyat Indonesia.

#2024setiabersamaJokowi",positive
"Baliho Baliho #2024SetiaBersamaJokowi Tersebar di Riau, DPRD Pekanbaru: Dipasang Simpatisan yang Militan

 https://t.co/CJdWeI0TYj",neutral
"KOBAR Pasang Baliho #2024SetiaBersamaJokowi di Pekanbaru, Riau

 https://t.co/OfaoYWREGa",neutral
"Alat peraga berupa baliho, spanduk, dan billboard dengan foto Jokowi berisikan #2024SetiaBersamaJokowi terpasang pada jalan-jalan utama di Pekanbaru dan Riau. #publisherstory https://t.co/QtFgbwPlV4",neutral
"Ada Apa? Spanduk Dukungan Presiden Jokowi 3 Periode Beredar di Pekanbaru, Hastag #2024SetiaBersamaJokowi Menggema… https://t.co/YYBGkmpDb0",negative
"Untuk berita.macam ini banyak implikasi nya sampai nanti rusuh, biar dia perpanjang masa jabatan alasan darurat, kita kudu cerdas menyikapi baliho macam ini kalo saya biarin saja, wong taste the water ini, ibarat pisau bermata 2 , kudu hati² #2024setiabersamaJokowi itu saya Amini",positive
"@tvOneNews Itu bukan dukungan 3 periode, persepsi mu salah, kamu berusaha membangun opini kayak yang dibayar 200rb itu,taste the water, #2024setiabersamaJokowi ya saya Amini emang jatah dia sampai 2024 ga kurang ga lebih, kecuali baliho isinya dukung periode selanjutnya baru itu 3 periode,",negative
"Dlm baliho bergambar Joko Widodo itu, bertuliskan rakyat butuh kerja nyata&amp;mendukung Presiden RI Joko Widodo yg sudah 2 periode utk lanjut ke tiga periode.

=&gt;Harapan Rakyat Indonesia
=&gt;2024SetiaBersamaJokowi

Kepada Pak @jokowi tolong di klarifikasi 🙏

https://t.co/xUP7HnApHR",negative
"@tukangrosok___ @PDemokrat @PKSejahtera Di pekanbaru Riau hr ini bnyk bredar baliho2 bertuliskan ""Harapan Rakyat Indonesia"" diikuti tagar ""2024SetiaBersamaJokowi"".
Di Baliho ada logo Koalisi Bersama Rakyat dari Relawan Indonesia Sumatra untuk Jokowi (RIsatu).
apakah ini bnr dr relawan jokowi? ko kotradiksi dgn pak dhe?",negative
"#2024setiabersamaJokowi , ga ada 3 periode ya.. emang jatah dia sampai 2024 ga kurang ga lebih, ga usah di kurangin masa jabatan nya, saya lagi gemes sama yang Maren milih dia lagi biar kita menikmati kebahagiaan ini bersama sama sampai tersadar dengan paripurna..................",negative
@gilsadewa #2024setiabersamaJokowi gak ganti 😶,positive
"#2024setiabersamaJokowi gitu😂 sampai puas puas puas, #2024JanganSalahPilihLagi",positive
KOBAR mendeklarasikan #2024SetiaBersamaJokowi untuk menyuarakan aspirasi rakyat dalam mengawal kerja Presiden Joko Widodo (Jokowi). #KOBAR https://t.co/mmiv0dSKnm,positive
"@YanHarahap Sy masyarakat banten mendukung pk jokowi 3priode
#2024setiabersamaJokowi",positive
"Wacana tiga periode!!! 

#LuBiangPengkhianat 
#2024setiabersamajokowi https://t.co/7sZZcLwyNe",negative
"@Android_AK_47 Wah #.2024SetiaBersamaJokowi katanya,,",negative
Baliho dan Spanduk #2024setiabersamaJokowi Mulai Terlihat di Pekanbaru https://t.co/Ce9bUiBJVr https://t.co/4ykWlyaEBP,neutral
"KOBAR: Dukungan Masyarakat Bawah Terus Mengalir, Gerakan #2024SetiaBersamaJokowi Terus Menggema https://t.co/KXLDZqP5vM https://t.co/3vYGd0yjYV",positive
"Gerakkan Simpul Daerah, KOBAR gelar Deklarasi Bertajuk #2024SetiaBersamaJokowi https://t.co/G0MbpHYIyk",positive
"KOBAR Deklarasi #2024SETIABERSAMAJOKOWI: Apapun Perintah Presiden, Kami Manut

https://t.co/pAcshgvqDa",positive
