text,label_manual
"Pemimpin Dunia Meniru cara Berpakaian Jokowi,yg Khas dgn Kemeja Putih Polos, Mereka Menyebut Jokowi Style..... Jadi pingin Gaungkan kembali
#JokowiTigaPeriode Makin Love sama Pak Jokowi 👍👍👍",positive
"@03__nakula Saya kok jadi berkobar untuk menyuarakan
#JokowiTigaPeriode https://t.co/qgPthid4Jh",positive
"Deklarator Koalisi Bersama Rakyat (Kobar) Sahat Martin Philip Sinurat mengatakan, gerakan Presiden Jokowi Tiga Periode layak diperjuangkan. #JokowiTigaPeriode https://t.co/GPbWod3eDP",positive
@bernadetss kami bosaaaan dengan dramaaa ini. #JokowiTigaPeriode wkwkwkwkwkwk,negative
Pengamat politik Dedi Kurnia Syah menanggapi tafsiran Direktur Eksekutif Indo Barometer M Qodari soal pernyataan Jokowi dengan jabatan presiden tiga periode. #Jokowitigaperiode https://t.co/O0K8bZlDQn,neutral
@sa3idwhat Saya dukung rezim #jokowitigaperiode 🫡,positive
"Survei Populi Center, Mayoritas atau 74,3 Persen Rakyat Indonesia Menolak Pemilu 2024 Ditunda, Juga Tak Setuju Jokowi Tiga Periode https://t.co/xiCUa9LTfP #headline #Jokowi #JokowiTigaPeriode #Mayoritas",negative
"Wacana presiden tiga periode sudah tak terkendali. Ibarat bara api dipadamkan dengan air, percikannya sudah kemana-mana.  #jokowitigaperiode https://t.co/KpoGXM5X7a",negative
Psikologi Presiden Jokowi terpengaruh oleh tekanan publik yang menolak isu penundaan pemilu dan perpanjangan masa jabatan menjadi 3 periode #JokowiTigaPeriode https://t.co/S2fdWt988Y,neutral
"Demo Tolak Jokowi Tiga Periode, Ruslan Buton Siap Gabung Gerakan Mahasiswa https://t.co/NvWjBd7y3p #DemoTolak #DemoTolakJokowi #headline #JokowiTigaPeriode",negative
@VIVAcoid Apa Persamaan Gembong sama Cebong? Yg bener dapat kaos JokowiTigaPeriode 🤣🤣,negative
Rocky Gerung Anggap Larangan Jokowi kepada Menteri untuk Bicara Presiden Tiga Periode sebagai Akal-akalan https://t.co/PQ838Fz2Wd #JokowiTigaPeriode #menteri #Pemilu2024 #PenundaanPemilu2024,negative
"Demo Tolak Jokowi Tiga Periode Sempat Ricuh, Andito Galih: Mahasiswa akan Datang dengan Eskalasi Massa yang Lebih Besar https://t.co/S8K2Oppc0F #AnditoGalih #demo #JokowiTigaPeriode #mahasiswa",negative
Ratusan Mahasiswa Makassar Unjuk Rasa Tolak Kenaikan PPN dan Jokowi 3 Periode #jokowitigaperiode #KenaikanPPN https://t.co/XrvfS13S3v,negative
"Politikus Gerindra Ngotot Ingin Jokowi Tiga Periode
@jokowi @bumnbersatu
#MasaJabatanPresiden #JokowiTigaPeriode 

https://t.co/1qQ6m23jWP https://t.co/g91EtJczDg",positive
Moeldoko Sebut Perpanjangan Masa Jabatan Presiden Bahan 'Gorengan' Tak Berkualitas #JokowiTigaPeriode #kepalaksp https://t.co/0bOXOtDkbh,neutral
"Kades yang Dukung Jokowi 3 Periode Langgar UU, DPR Minta Mendagri Tegur dan Beri Sanksi #Apdesi #JokowiTigaPeriode https://t.co/2mbYh8yGhp",neutral
"Kasak-kusuk Orang Lingkaran Istana Ingin Jokowi Tiga Periode, Didik Mukrianto: Sungguh Absurd serta Menabrak Logika dan Akal Sehat https://t.co/zVlbQjWunC #Absurd #DidikMukrianto #headline #JokowiTigaPeriode",negative
Anggota Komisi II DPR  Mardani Ali Sera menyinggung dugaan alokasi anggaran negara untuk memelihara isu Jokowi tiga periode.  #Jokowitigaperiode https://t.co/Veeq0LS1l6,neutral
"Sebut Kata Sontoloyo, Amien Rais Khawatir Jika Tidak Ada yang Menghalangi Wacana Jokowi Tiga Periode https://t.co/vkbwXLLKQs #AmienRais #headline #Jokowi #JokowiTigaPeriode",negative
"Wacana Jokowi Tiga Priode Dinilai Langgar Konstitusi, Pengamat Politik Unhas: Kekuasan itu Candu #jokowitigaperiode https://t.co/zR58AJmRfh",negative
"Luhut Panjaitan Jabat Ketua Dewan Pembina Apdesi, Pangamat: Wajar Masyarakat Nilai Deklarasi Jokowi Tiga Periode Terkesan Diarahkan https://t.co/alUG2fE565 #Apdesi #Jokowi #JokowiTigaPeriode #LuhutPanjaitan",neutral
"Tolak Usulan Jokowi 3 Periode, Kades di Selayar Melawan Keputusan APDESI #APDESI #jokowitigaperiode #Kades #Selayar https://t.co/pmYqvG73RY",negative
"Apdesi Ingin Deklarasi Jokowi Tiga Periode, Junimart Girsang: Mencederai Nilai Konstitusi https://t.co/q2ntWFK1jr #Apdesi #Jokowi #JokowiTigaPeriode #JunimartGirsang",negative
Presiden Joko Widodo disarankan jadi kepala desa saja kalau mau tiga periode. #jokowitigaperiode https://t.co/2kASwo2iRi,negative
Demokrat Sebut Deklarasi Mendukung Jokowi Tiga Periode sebagai Konsolidasi Paling Jahat https://t.co/8otWf2tHiV #demokrat #HerzakyMahendraPutra #Jokowi #JokowiTigaPeriode,negative
